Found 200 images and 200 masks.

===== Training with 1 positive/negative clicks =====
[Epoch 33] Train=2.7729 | Val=0.2112 | Dice=0.4302 | IoU=0.3954 | Acc=0.9322 | Sens=0.9362 | Spec=0.9328
[Epoch 34] Train=2.8458 | Val=0.2077 | Dice=0.4343 | IoU=0.4001 | Acc=0.9341 | Sens=0.9462 | Spec=0.9302
[Epoch 35] Train=2.5580 | Val=0.2029 | Dice=0.4388 | IoU=0.4059 | Acc=0.9368 | Sens=0.9523 | Spec=0.9316
[Epoch 36] Train=2.3489 | Val=0.2041 | Dice=0.4378 | IoU=0.4056 | Acc=0.9352 | Sens=0.9467 | Spec=0.9322
[Epoch 37] Train=2.2572 | Val=0.2114 | Dice=0.4374 | IoU=0.4054 | Acc=0.9330 | Sens=0.9565 | Spec=0.9242
[Epoch 38] Train=2.4048 | Val=0.2405 | Dice=0.4350 | IoU=0.4006 | Acc=0.9219 | Sens=0.9683 | Spec=0.9054
Early stopping triggered.
Finished training with 10 clicks.

===== Training with 20 positive/negative clicks =====
[Epoch 01] Train=10.5107 | Val=0.6705 | Dice=0.0000 | IoU=0.0000 | Acc=0.6890 | Sens=0.0000 | Spec=1.0000
[Epoch 02] Train=7.6618 | Val=0.6165 | Dice=0.3212 | IoU=0.2752 | Acc=0.8209 | Sens=0.5709 | Spec=0.9362
[Epoch 03] Train=6.5100 | Val=0.4991 | Dice=0.3652 | IoU=0.3196 | Acc=0.8409 | Sens=0.6542 | Spec=0.9291
[Epoch 04] Train=5.4672 | Val=0.3853 | Dice=0.4507 | IoU=0.4116 | Acc=0.8730 | Sens=0.8327 | Spec=0.8975
[Epoch 05] Train=4.8721 | Val=0.3785 | Dice=0.4700 | IoU=0.4325 | Acc=0.8674 | Sens=0.9027 | Spec=0.8546
[Epoch 06] Train=4.6803 | Val=0.3316 | Dice=0.4761 | IoU=0.4351 | Acc=0.9023 | Sens=0.9251 | Spec=0.8978
[Epoch 07] Train=4.3996 | Val=0.2500 | Dice=0.4602 | IoU=0.4240 | Acc=0.9316 | Sens=0.8431 | Spec=0.9730
[Epoch 08] Train=4.3410 | Val=0.2669 | Dice=0.4760 | IoU=0.4397 | Acc=0.9333 | Sens=0.8902 | Spec=0.9569
[Epoch 09] Train=3.9868 | Val=0.2623 | Dice=0.4932 | IoU=0.4576 | Acc=0.9396 | Sens=0.9410 | Spec=0.9428
[Epoch 10] Train=3.9308 | Val=0.2826 | Dice=0.4895 | IoU=0.4513 | Acc=0.9265 | Sens=0.9392 | Spec=0.9249
[Epoch 11] Train=3.9490 | Val=0.2684 | Dice=0.4911 | IoU=0.4534 | Acc=0.9327 | Sens=0.9485 | Spec=0.9296
[Epoch 12] Train=3.8581 | Val=0.2234 | Dice=0.4850 | IoU=0.4527 | Acc=0.9446 | Sens=0.9019 | Spec=0.9686
[Epoch 13] Train=3.9215 | Val=0.2280 | Dice=0.4913 | IoU=0.4567 | Acc=0.9430 | Sens=0.9333 | Spec=0.9507
[Epoch 14] Train=3.7388 | Val=0.2295 | Dice=0.4861 | IoU=0.4514 | Acc=0.9400 | Sens=0.9037 | Spec=0.9608
[Epoch 15] Train=3.5746 | Val=0.3009 | Dice=0.4916 | IoU=0.4518 | Acc=0.9183 | Sens=0.9675 | Spec=0.8992
[Epoch 16] Train=3.6696 | Val=0.2238 | Dice=0.4936 | IoU=0.4618 | Acc=0.9467 | Sens=0.9178 | Spec=0.9649
[Epoch 17] Train=3.4171 | Val=0.2285 | Dice=0.4982 | IoU=0.4652 | Acc=0.9438 | Sens=0.9417 | Spec=0.9469
[Epoch 18] Train=3.3606 | Val=0.2017 | Dice=0.4997 | IoU=0.4682 | Acc=0.9503 | Sens=0.9290 | Spec=0.9639
[Epoch 19] Train=3.3658 | Val=0.3554 | Dice=0.4788 | IoU=0.4367 | Acc=0.8816 | Sens=0.9631 | Spec=0.8493
